truku	zh	en	fr	headword
Plutut binaw ka dha qnawal su, kika mha tuku knbragan da.	把你的兩條鐵絲首尾接起來，這樣長度就夠了。	Fasten your two iron wires end to end, that way their length will be enough.	Attache bout à bout tes deux fils de fer, ainsi leur longueur suffira.	LUTUT
Aji su pltudun ka gasil su hu?	你不想把你的繩子接長嗎？	Don't you want to lengthen your string?	Ne veux tu pas rallonger ta ficelle ?	LUTUT
Emplutut ku kiya ka gasil su.	我等一下會把你的繩頭接起來。	I will fasten your pieces of string shortly.	J'attacherai tout à l'heure tes bouts de ficelle.	LUTUT
Ima ka emplutut?	1）誰在繫？2）誰將要繫？	1) Who is the one fastening? 2) Who is the one who will fasten?	1) Qui est celui qui attache ? 2) Qui est ce qui attachera ?	LUTUT
Pnlutut ku shiga.	我昨天把它接長了。	I lengthened it yesterday.	Je (l') ai rallongé hier.	LUTUT
Ini hari tai ka pnltudan su.	幾乎看不出你接合的地方。	One can barely see the place where you made the joint.	On voit à peine l'endroit où tu as fait la jointure.	LUTUT
Hiya bi nanak ka qnawal nii, ungat bi btudan.	這條鐵絲是一整條的（就只是它本身），確實沒有接頭。	It is all one piece (it is just itself), this iron wire, truly without joints.	Il est d'une seule pièce (il est uniquement lui) ce fil de fer, vraiment sans jointures.	LUTUT
Mnarux kana btudan papak mu.	我腿上所有的關節都在痛。	All the joints of my legs hurt.	Toutes les jointures de mes jambes me font mal.	LUTUT
Pnlutut su sknuwan ka negul mu?	你什麼時候把你的細繩接長的？	When did you lengthen your cord?	Quand as tu rallongé na cordelette ?	LUTUT
Paah sbiyaw ka pnlutut nami da.	我們很久以來就把彼此當作（表現得像）親屬。	It has been for a very long time that we consider ourselves (behave as) relatives.	C'est depuis très longtemps que nous nous considérons (nous nous comportons comme des) parents.	LUTUT
Asi ka pklutut su (pnklutut su (?)) pusu denki mha emprdax ka tama denki su.	只有讓你的燈與發電機（與電源）接觸，它才能發光。	Your lamp will only be able to shine if you make it be in contact with the dynamo (with the source of electricity).	Ta lampe ne pourra éclairer que si tu fais qu'elle soit en contact avec la dynamo (avec la source de l'électicité).	LUTUT
Ini bi slutut paah seuxal ka dhiya; mslutut nami ka yami.	他們很久以來就不把彼此當親屬了；而我們則保持著親戚關係。	For a long time they, they do not consider themselves relatives; we, we keep up the kinship ties.	Depuis longtemps ils ne se considèrent pas parents, eux ; nous, nous conservons les relations de parentée.	LUTUT
Mslutut nami balay ka yami Iban.	Iban 和我確實是親屬。	Iban and I are truly relatives.	Ibanne et moi sommes vraiment parents.	LUTUT
Sibal ka pusu ta rudan sbiyaw; hiya bi ka pnslutut tnan da!	Sibal 是我們的本源（我們的祖先），我們是透過他才成為親屬的（是他使我們成為親屬）。	It is Sibal who is our stock (our ancestor), and it is through him that we are relatives (who made us relatives).	C'est Sibal qui est notre souche (notre ancêtre), et c'est par lui que nous sommes parents (qui nous a fait parents).	LUTUT
Isu nanak ka napa ruciq.	承擔過錯的只有你一個人。	It is you alone who bears the fault.	C'est toi seul qui portes la faute.	LUTYAQ
Ruciq kana lukus su da.	你的衣服都髒了（滿是污垢）。	There are your clothes all dirty (full of dirt).	Voilà tes habits tout sales (pleins de saleté).	LUTYAQ
Mruciq kana baga su da, sai trima!	你的手都髒了，去洗一洗！	Your hands are all dirty, go wash yourself!	Tes mains sont toutes sales, va te laver !	LUTYAQ
Qsiya mahun ka nii! Raraw bi hmut pruciq!	這水是飲用水，別隨便把它弄髒。	This water is drinking water, avoid dirtying it carelessly.	Cette eau est de l'eau pour boire, évite de la salir inconsidérément.	LUTYAQ
Ya hmut pruciq tleengan dha.	別去弄髒他們要坐的地方（他們的座位）。	Don't go dirtying the places where they will sit (their seats).	Ne t'amuse pas à salir les places où ils vont s'asseoir (leurs chaises).	LUTYAQ
Ma slaq bi ka ddaun su sruciq su kana lukus da.	你為什麼偏偏要走過稻田，把衣服都弄髒了？	Why do you go right through the paddy field, dirtying your clothes?	Pourquoi passes tu justement par la rizière pour salir tes habits ?	LUTYAQ
Ini dha srwaani pstnai sapah aji dha sruciqun.	他們不被允許進屋，以免被玷污（成為不潔）。	They were not permitted to enter the house so as not to be soiled (impure).	Il ne leur était pas permis d'entrer dans la maison pour ne pas être souillés (impurs).	LUTYAQ
Ga nluul paah skeeman ka huling Wilang.	Wilang 的狗從昨晚就一直在吠。	Wilang's dog has been barking since last night.	Le chien de Wilan aboie depuis hier soir.	LUUL
Wada preura bi rnngaw duri.	他又清楚地說了一遍。	He again spoke clearly.	Il a de nouveau dit clairement.	LUULA
Ungat bi ka ini na ptllayun.	沒有什麼是他不決心公開顯明（使人知曉）的。	There is nothing he is not determined to manifest (to make known) publicly.	Il n'y a rien qu'il ne soit décidé à manifester (à faire connaître) publiquement.	LUULA
Ya ku bi ptreurani seejiq.	別讓大家知道這件事。	Do not make it known to people.	Ne le faites pas connaître aux gens.	LUULA
Luus su bi kdjiyax ka isu o, uxay su embasi bi hu?	你總是獨自一人（單身），你不會覺得無聊（不會難過）嗎？	You who are always alone (unmarried), don't you get bored (aren't you sad)?	Toi qui es toujours seul (célibataire), est ce que tu ne t'ennuies pas (n'es pas triste) ?	LUUS
Luhay na nanak ka kiya.	那確實是他的習慣（他的癖好）。	That is indeed his habit (his quirk).	Celà c'est bien son habitude (sa manie).	LUXAI
Naqih bi lhayan sayang laqi ka nkan lumak .	抽菸是當今孩子們的壞習慣（惡習）。	It is a bad habit (vice) of children nowadays to smoke.	C'est une mauvaise habitude (vice) des enfants aujourd'hui de fumer.	LUXAI
Ana ndrudan ka ga prajing smluhay matas.	甚至有些老人也在學寫字。	There are even some among the old people who are learning to write.	Il y en a même parmi les vieux qui apprennent à écrire.	LUXAI
Ya bi sluhay mimah sinaw.	別養成喝酒的習慣！	Don't get into the habit of drinking wine!	Ne t'habitue pas à boire du vin !	LUXAI
Naqih bi slhayan ka kari truku.	太魯閣語是很難學的語言。	Taroko is a difficult language to learn.	Le taroko est une langue difficile à apprendre.	LUXAI
Pslhayun nisu matas hu? … Ana ini! … Ana niya!	我來教你寫字，好嗎？……不必了！……隨你的便！	I'll teach you to write, all right? … It's not necessary! … As you wish!	Je vais t'apprendre à écrire, veux tu ? … Ce n'est pas nécessaire ! … Comme tu voudras !	LUXAI
Saun mu marig ka patas ssluhay mu kari egu.	我想去買學英語的書。	I want to go buy the books for learning English.	Je veux aller acheter les livres pour apprendre l'anglais.	LUXAI
Lxan bi kari ka nii.	這很容易說。	This is easy to say.	Ceci est facile à dire.	L'XAN (L'çAN)
Lxan bi ka kari nii.	這句話（這種說法、這種語言）很容易，（好懂）。	This speech, (this way of speaking, this language) is easy, (understandable).	Cette parole, (ce parler, ce langage) est facile, (compréhensible).	L'XAN (L'çAN)
Mlxan balay ka nkari su truku.	你的太魯閣語說得很清楚（你太魯閣語說得好）。	Your Taroko speech is very clear (you speak Taroko well).	Ton parler taroko est très clair (tu parles bien le taroko).	L'XAN (L'çAN)
Lhang hidaw ni lhang idas o, paru ka ini pndka.	太陽的光和月亮的光之間有很大的差別。	There is a great difference between the light of the sun and.	Il y a une grande différence entre la lumière du soleil et.	L'XANG
Pasi bi lmhang dhyaan ka rdax pnaah ska sapah.	於是從屋內射出的光（光線）便照亮了他們。	And at once the light (the ray) coming from inside the house illuminates them, lights them up.	Et du coup la lumière (le rayon) venue de l'intérieur de la maison les illumine, les éclaire.	L'XANG
Paru bi lhangan na ka harung su nii.	你這盞燈很亮（照得很亮）。	Your lantern gives a great deal of light (lights up a lot).	Ton falot donne une grande lumière (éclaire beaucoup).	L'XANG
Emplhang tnan paah baraw ka hidaw pprdax na tntana mnkuung.	太陽從上方照耀我們，照亮那些身處陰影中的人。	The sun lights us from above to illuminate those who are in the shadow.	Le soleil nous éclaire d'en haut pour illuminer ceux qui se trouvent dans l'ombre.	L'XANG
Mnarux lhbun.	噁心－胃痛。	To feel nauseous - to have a stomach ache.	Avoir des nausées - avoir mal à l'estomac.	L'XBUN
Nasi su kmblbil radax nii o, blbili paah lhbun niya.	如果你要拖動這根原木，就從它的腹部（中段）拖。	If you want to drag (haul) this log, pull it by its belly (its middle).	Si tu veux tirer (traîner) cette grume, tire-la par son ventre (son milieu).	L'XBUN
Lhbun baga.	手心。	Hollow of the hand.	Creux de la main.	L'XBUN
Mangal lhbun.	使人喘不過氣。	To take one's breath away.	Couper le souffle.	L'XBUN
Bilaq bi lhbun.	易怒－神經質－情緒化。	Irascible - nervous - emotional.	Irascible - nerveux - émotif.	L'XBUN
Ya slhbun, gisu ka msapuh da!	別擔心（放寬心），醫生來了！	Calm down (don't worry), here comes the doctor!	Calme-toi (sois sans souci), voici le médecin qui arrive !	L'XBUN
Mslhbun ku balay! Wada sapah spuhan ka snaw mu.	我很擔心，我丈夫住院了。	I am very worried, my husband has been admitted to the hospital.	Je me fais bien du souci, mon mari est entré à l'hôpital.	L'XBUN
Ma naku kana ka slhbnan.	好像所有的煩惱都落在我身上！	It's as if all the worries are for me!	On dirait que tous les soucis sont pour moi !	L'XBUN
Ana ququ su empslhbun bi rdanan su hu?	讓父母如此擔憂，你都不在乎嗎？	Doesn't it matter to you to cause your parents so much worry?	Est-ce que celà t'est égal de donner tant de soucis à tes parents ?	L'XBUN
Ana ini huya o, ida empslhbun ka dbubu.	即使沒有什麼事（沒有理由），母親自然也會擔憂！	Even when there is nothing (no reason), a mother naturally worries!	Même s'il n'y a rien (s'il n'y a pas lieu), une maman se fait naturellement du souci !	L'XBUN
Rhiq qhuni.	樹皮（尤指肉桂）。	Tree bark (more specifically, denotes cinnamon).	Écorce d'arbre (plus spécialement, désigne la cannelle).	L'XEQ
Rhiq blbul.	香蕉皮。	Banana peel.	Peau de banane.	L'XEQ
Ya uda dowras, qrhiqun su kana ka papak su.	別走進岩石裡（別經過岩石），你會把整雙腳都磨破。	Don't go into the rocks (don't pass through the rocks), you'll scrape all your feet.	Ne va pas dans les rochers (ne passe pas par les rochers), tu vas écorcher tous tes pieds.	L'XEQ
Paah ka ndaan mu mnarux o, nqrhiq kana baga mu da.	自從我生病以來，我整隻手都在脫皮。	Since my illness, all my hand is peeling.	Depuis ma maladie, toute ma main s'écaille.	L'XEQ
Mha ta qrhqan kana da.	我們都將脫胎換新皮。	We are all going to make new skin.	Nous allons tous faire peau neuve.	L'XEQ
Aji su kuxul ka lxi nii hu?	你會想要（合你口味嗎）這些嫩竹筍嗎？	Would you accept (is it to your liking) these young bamboo shoots?	Est-ce que tu accepterais (celà est ton plaisir) ces jeunes pousses de bambou ?	L'XI (L'çI)
Kmkan ku bi lxi.	我很想吃竹筍。	I would really like to eat bamboo shoots.	J'aimerais bien manger des pousses de bambou.	L'XI (L'çI)
Rhqan bi napa na ka laqi.	這孩子背了很輕的擔子。	The child carried a very light load.	L'enfant a porté une charge très légère.	L'XKAX (L'XQAX)
Lpi nanak, mlhkah balay.	那只是（穀物的）稻殼，非常輕。	It's only chaff (of grain), it's very light.	Ce n'est que de la balle (de graine), c'est très léger.	L'XKAX (L'XQAX)
Ana mlhkah ka gnsal o, ini klhkah ka payay bi.	稻稈雖然輕，穀粒本身（稻穀）卻不輕。	Though the (rice) straw is light, the grain itself (the paddy) is not.	Si la paille (de riz) est légère, la graine elle-même (le paddy) ne l'est pas.	L'XKAX (L'XQAX)
Nasi khaya ka knlhkahan niya o, empdhuq napa ka ana laqi.	若它如此之輕，連小孩都能背得動。	If its lightness is such, even a child will manage to carry it.	Si sa légèreté est telle, même un enfant arrivera à la porter.	L'XKAX (L'XQAX)
Ma su slhkah ka nkari tana ta.	你竟把我們父親（從前）的話當作無足輕重嗎？	So you consider our father's (past) words unimportant?	Tu considères donc sans importance les paroles (passées) de notre père ?	L'XKAX (L'XQAX)
Ini ku slhkah ana manu.	我對任何事都不掉以輕心。	I take nothing lightly.	Je ne prends rien à la légère.	L'XKAX (L'XQAX)
Nii seejiq ka snlhkahan namu nita (vl. nii ka seejiq snlhkahan namu nita (?))	這就是你們所鄙視的那個（一個？）人。	Here is the (a?) person whom you have despised.	Voici la (une ?) personne que vous avez méprisée.	L'XKAX (L'XQAX)
Thdagun mu cicih ka payay ppklhkah hyaan.	我要把我的稻穀稍微曬一曬，讓它輕一點。	I'm going to dry my paddy a little in the sun so it will be a bit lighter.	Je vais faire un peu sécher au soleil mon paddy pour qu'il soit un peu plus léger.	L'XKAX (L'XQAX)
Ana npungu o, ya bi qdaani ka gasil su, knhwayun mu lmhlah (vl. Knhuway ida mu lhlahun.	即使繩子纏成一團（打了結）也別扔掉；我會慢慢把它解開（理順）。	Don't throw away your string even if it is tangled (if it has knots); slowly I will untie it (untangle it).	Ne jette pas ta ficelle même si elle est emmêlée (si elle a des noeuds) ; lentement je la dénouerai (démêlerai).	L'XLAX (LEXLAX)
Emplhlah ta sayang ka bnkiyan sseejiq hu?	我們現在要釋放這些被鎖住的人嗎？	Are we now going to free these people who are chained up?	Allons-nous libérer maintenant ces gens qui sont enchaînés ?	L'XLAX (LEXLAX)
Kla bi saw kiya ka biyax na plhlah (pplhlah) knsqaan mu sjiqun (seejiq)	原來他有這樣的力量能克服在眾人面前的膽怯（我沒想到他會有這樣的力量）。	So this is his strength for freeing himself from his shyness before people (I didn't think he would have such strength for it).	Elle est donc ainsi sa force pour se libérer de sa timidité devant les gens (Je ne pensais pas qu'il aurait une telle force pour cela).	L'XLAX (LEXLAX)
Plhlahi lukus su binaw, nruciq bi da.	把你的衣服稍微刷一刷（撢一撢），都髒了。	Brush off (dust off) your clothes a bit, they are all dirty.	Brosse un peu (époussette un peu) tes habits, ils sont tout sales.	L'XLAX (LEXLAX)
Wada mu plhlahan ka lklukus su da (su da)	你的衣服我全都撢過了。	I have dusted them all off, your clothes.	Je les ai tous époussetés, tes habits.	L'XLAX (LEXLAX)
Ya bi manu ka slhlah na kjiyax?	它怎麼會不停地自行鬆開呢？	How can it keep coming undone without stopping?	Comment peut-il bien se délier sans arrêt ?	L'XLAX (LEXLAX)
Sai nita aji ga mtlhlah ka kacing ta da hu.	去看看我們的水牛是不是掙脫了。	Go and see whether our buffalo hasn't come loose.	Va voir si notre buffle n'est pas détaché.	L'XLAX (LEXLAX)
Ga mtlhlah kana ka dphpah da.	所有的花都綻放了。	All the flowers open up (bloom).	Toutes les fleurs s'ouvrent (s'épanouissent).	L'XLAX (LEXLAX)
Ga su mtlhlah da.	你自由了！	There you are, free!	Te voilà libre !	L'XLAX (LEXLAX)
Mntaqi lhngaw nkdha hngkawas ka Liwis.	Liwis 在洞穴裡睡了兩年。	Liwis slept two years in a cave.	Liwis a dormi deux ans dans une caverne.	L'XNGAO
Lhngaw paru ka kiya.	那真是個大洞穴！	What a big cave that is!	Voilà une bien grande caverne !	L'XNGAO
Ini ku kla rnawah rhngun sapah su.	我打不開你家的門。	I am unable to open the door of your house.	Je suis incapable d'ouvrir la porte de ta maison.	L'XNGUN
Hmaun su manu ka slaq su? … Payay dhquy!	你想在你的水田裡種什麼？……糯米。	What do you want to plant in your paddy field? … Glutinous rice.	Que veux-tu planter dans ta rizière ? … Du riz gluant.	L'XQOI
Ida meaji ku mha (=: M + AJI-KU-MHA) kdjiyax ka hiya.	反正他就是一個永遠的「我不想去」。	In any case he is a permanent “I don't want to go”.	De toute façon lui, c'est un « je ne veux pas aller » permanent.	M
Mgul na mnarux ka kiya.	那正是他那老（不治的、擺脫不掉的）毛病。	That is indeed his old (incurable, inseparable) illness.	C'est bien là sa vieille (incurable, inséparable) maladie.	MA'GUL (M"GUL?)
Ga seegul siyaw elug ka kacing namu.	你們的水牛拴在路邊。	Your buffalo is tied up at the edge of the road.	Votre buffle est attaché au bord de la route.	MA'GUL (M"GUL?)
Ungat hari saw malan tunux ka nkealang truku.	太魯閣族中禿頭的人不多。	There are not many bald people among the Taroko.	Il n'y a pas beaucoup de chauves chez les taroko.	MALAN
Malu bi taan ka malu bi seejiq kiya.	這位很善良的人看起來很美（這位好人令人賞心悅目）。	This very good person is very beautiful to look at (This fine person is a pleasure to behold).	Cette très bonne personne est très belle à voir (Cette brave personne fait plaisir à voir).	MALU
Malu taan.	好看（美觀）。	Handsome (to look at).	Beau (à voir).	MALU
Malu bhangan.	好聽。	Pleasant to hear.	Beau à entendre.	MALU
Malu uqun.	好吃（容易入口）——貪吃。	Good (easy) to eat - gluttonous.	Bon (facile) à manger - Gourmand.	MALU
Malu karat.	好天氣。	Fine weather.	Beau temps.	MALU
Malu lnglungan.	有心腸的、好意的。	Kind-hearted, well-meaning.	Qui a du cœur, bien intentionné.	MALU
Malu kuxul.	快樂的。	Joyful.	Joyeux.	MALU
Malu tunux.	聰明的。	Intelligent.	Intelligent.	MALU
Malu seejiq.	好人。	A fine person.	Brave personne.	MALU
Malu qnita.	心地好的。	Well-disposed.	Bien disposé.	MALU
Nmalu shiga o, wada naqih duri.	他昨天還好好的，如今又不舒服了。	Well as he was yesterday, here he is unwell again.	De bien qu'il était hier, le voilà de nouveau mal.	MALU
Kingal su nmalu seejiq ka isu.	你是好人之一。	You are one of the good people.	Toi tu es l'une parmi les bonnes personnes.	MALU
Nmalu seuxal ka hiya.	他從前是好的。	He was well in the past.	Il était bien autrefois.	MALU
Knalu nhari da! Paru ta bi tbyaxan ka sayang.	快點康復！我們現在有很多工作。	Hurry up and get well! We have a lot of work now.	Dépêche toi de guérir ! Nous avons beaucoup de travail maintenant.	MALU
Ana mu si spuhi o, ini kmalu ka tunux mu.	我再怎麼醫治，我的頭還是不好！	No matter how I treat myself, my head won't get better!	J'ai beau me soigner, ma tête ne guérit pas !	MALU
Smeura ku bi nita knmalu lnglungan niya.	看到他多麼善良，真讓人羨慕！	It makes one envious to see how good he is!	Celà ne fait envie en voyant combien il est bon !	MALU
Asaw knmalu Aki ka wada malu ka papak mu da.	多虧了 Aki 的善良，我的腳才康復了。	It is thanks to Aki's goodness that my foot has healed.	C'est grâce à la bonté de Aki que mon pied est guéri.	MALU
Ya keisug, aji biyaw empanalu ka papak su.	別怕！你的腳很快就會好！	Don't be afraid! Your foot will heal very quickly!	N'aie pas peur ! Ton pied guérira très vite !	MALU
Empanalu su mahun.	這對你會是好喝的飲料。	It will be a good drink for you.	Ce sera une bonne boisson pour toi.	MALU
Uxay yaku ka pnkmalu sunan?	不是我把你治好的嗎？	Wasn't it I who healed you?	N'est ce pas moi qui t'ai guéri ?	MALU
Psaun nisu natas ppkmalu mu ka tunux su.	我想送你去讀點書，好讓你的頭腦清醒一點（讓你的頭腦變好）。	I want to send you to study a little to set your head straight (to make your head good).	Je veux t'envoyer un peu étudier pour te remettre un peu la tête en place (pour rendre ta tête bonne).	MALU
Miyah su skmalu lnglungan na hu.	你是來安慰他（或：把他稍微導回正途）嗎？	Are you coming to comfort him (var. to set him back a bit on the right path)?	Est ce que tu viens le consoler (vl. le remettre un peu sur la bonne route) ?	MALU
Ya manu bi ka snkmalu kuxul na snduray.	最近是什麼讓他心情這麼好？	What could have put him in such a good mood lately?	Qu'est ce qui a bien pu le mettre de bonne humeur ces derniers temps ?	MALU
Nhmaan sktama mu ka pusu mami bukuy sapah su.	是我已故的父親種下你家後面的橘子樹。	It was my late father who planted the orange tree behind your house.	C'est feu mon père qui a planté l'oranger qui est derrière ta maison.	MAMI
Manu bi ka kari su.	你到底在說什麼？	What on earth are you saying?	Qu'est ce donc que tu dis ?	MANU
Ungat ana manu.	什麼都沒有！	There is nothing!	Il n'y a rien !	MANU
Ana manu.	任何——無論什麼。	Anything - whatever it may be.	Tout - quoi que ce soit.	MANU
Manu ka tama su o, ga inu ka sayang?	說到你父親；他現在在哪裡？	As for your father; where is he now?	A propos de ton père ; où est il maintenant ?	MANU
Mmanu namu bi da.	你們變成怎樣了？	What have you become?	Qu'est ce que vous êtes devenus ?	MANU
Ini namu matas sayang do, empaamanu namu hici da?	你們今天若不讀書，將來會變成怎樣？	If you don't study today, what will become of you later on?	Si vous n'étudiez pas aujourd'hui, que deviendrez vous plus tard ?	MANU
Empaamanu manu.	你們會變成什麼？	What will you become?	Que deviendrez vous ?	MANU
Snmanu namu da.	你們爭執的原因是什麼？	What is the cause of your quarrel?	Quelle est la cause de votre différend ?	MANU
Mntjiyal nami shiga o, uxay nami snmanu; wana bi pila!	我們昨天吵起來，不為別的，就為了錢。	We came to blows yesterday, it was over nothing but money.	Nous nous sommes attrapés hier, ce n'était pour rien d'autre que l'argent.	MANU
Msnanu ta ka ita?	我們之間有什麼共同點？	What do we have in common?	Qu'est ce qu'il y a de commun entre nous ?	MANU
Bgurah bi shiga ka masaq mu ni, ungat da! Ya wada inu? … Wada mu djiyun sbahu mu lukus da.	我的肥皂昨天還是新的，現在卻沒了！它到哪去了？……我拿去洗衣服了。	It was new yesterday, my bar of soap, and now there's none left! Where has it gone? … I used it to wash the clothes.	Il était neuf hier, mon morceau de savon et il n'y en a plus ! Où est il donc passé ? … Je m'en suis servi pour laver les habits.	MASAK
Sinaw masu.	小米酒。	Millet wine (beer).	Vin (bierre) de millet.	MASO
Idaw masu.	煮熟的小米。	Cooked millet.	Millet cuit.	MASO
Tmukuy masu.	播種小米。	To sow millet.	Semer du millet.	MASO
Qnpah masu.	耕作小米（小米田……）。	To work the millet (the field of.).	Travailler le millet (le champ de.).	MASO
Maxal maspat.	十八。	Eighteen.	Dixhuit.	MASPAT
Maspat kmxalan.	八十。	Eighty.	Quatre-vingt.	MASPAT
Mnpiya su mnkan sapah mu? … Mnspat.	你在我家吃過幾次飯？……八次！	How many times have you eaten at my place? … Eight times!	Combien de fois as tu mangé chez moi ? … Huit fois !	MASPAT
Mkmaspat ku da hini.	我已經在這裡八天了。	I have already been here eight days.	Voilà déjà huit jours que je suis là.	MASPAT
Mkmaspat jiyax sida ka laqi.	那時孩子八天大。	The child was eight days old at that time.	L'enfant était âgé de huit jours à ce moment là.	MASPAT
Mkmaspat idas ka nsaan mu bbuyu.	我去（待在）山上打獵有八個月之久。	It was for eight months that I went (stayed) hunting.	C'est pendant huit mois que je suis allé (resté) à la chasse.	MASPAT
Pnpiya namu hiyi papa.	你們每趟幾個人？（一次有多少人上（車）？）	How many of you per trip? (how many people get on (the vehicle) at a time?)	Vous êtes à combien par voyage ? (combien de personnes montent (dans le vehicule) à la fois ?)	MASPAT
Pnmaspat nami da.	我們一次八個人。	We are eight at a time.	Nous sommes huit à la fois.	MASPAT
Maxal mataru.	十六。	Sixteen.	Seize.	MATALO (M'TALO)
Mataru kmxalan mataru.	六十六。	Sixty-six.	Soixante six.	MATALO (M'TALO)
Mnataru sayang ka yahan mu nita tlaman niya.	今天是我第六次來看他跑步（看他賽跑）。	Today is the sixth time I have come to watch him run (to watch his race).	C'est aujourd'hui la sixième fois que je viens le voir courir (voir sa course).	MATALO (M'TALO)
Mnmataru ka nyahan mu shkawas.	去年我來了六次。	Last year I came six times.	L'an passé je suis venu six fois.	MATALO (M'TALO)
Pnmataru namu pila da.	你們每人領（有、給、拿）六枚錢幣。	You each receive (have, give, take) six coins.	Vous recevez (avez, donnez, prenez) six pièces (à) chacun.	MATALO (M'TALO)
Mnda alang ka paru bi sbhuran bitaq nkmataru = Paru bi sbhuran nkealang nami bitaq nkmataru.	我們部落颳了六天的大風。	For six days there was (there passed) a great wind at our village.	Pendant six jours il y a eu (est passé) un grand vent chez nous.	MATALO (M'TALO)
Paah pntcingan (pncingan) na ka neetung bi dowriq na.	他的眼睛自出生起就瞎了。	His eyes have been blind since his birth.	C'est depuis sa naissance que ses yeux sont aveugles.	MA'TONG
Mha su inu, wan?	你要去哪裡，連襟？	Where are you going, brother-in-law?	Où vas tu, beau frère ?	MAWAN
Maxal kingal ni maxal maspat ni maxal rima o, spat kmxalan spat da.	十一加十八加十五，等於四十四。	Eleven and eighteen and fifteen, that makes forty-four.	Onze et dixhuit et quinze, cela fait quarante quatre.	MAXAL
Spat bi kmxalan.	只有四十。	Forty only.	Quarante seulement.	MAXAL
Spat kmxalan spat.	四十四。	Forty-four.	Quarante quatre.	MAXAL
Mknaxal nami daya.	我們剛在上面（山上）待了十天。	We have just spent ten days up there.	Nous venons de passer dix jours là haut.	MAXAL
Ma ini iyax!	1) 他怎麼會沒來？2) 咦！他沒來？3) 那麼！他是不來了？4) 他為什麼沒來？等等。	1) How come he hasn't come? 2) Well! He hasn't come? 3) So! He's not coming then? 4) Why hasn't he come? Etc.	1) Comment se fait-il qu'il ne soit pas venu ? 2) Tiens ! Il n'est pas venu ? 3) Alors ! C'est qu'il ne vient pas ? 4) Pourquoi n'est-il pas venu ? Etc.	MA"
Naqih bi tbgan ka mirit.	養山羊並不容易。	Raising goats is not easy.	Elever des chèvres n'est pas aisé.	MILIT
Mirit Bbuyu.	野生山羊。	Wild goats.	Chèvres sauvages.	MILIT
Tnabug mirit.	飼養山羊。	To raise goats.	Elever des chèvres.	MILIT
Mtabug mirit.	牧羊人——牧人。	Goatherd - herdsman.	Chevrier - pasteur.	MILIT
Saw balung rudux o, meiluq ka kuxul mu balay.	至於蛋，我最喜歡生的！	As for eggs, it's raw that I really like them!	Pour ce qui est des œufs, c'est non cuits que je les aime !	MILOQ
Misan da! Pasi ta nqaras malah tahut da.	冬天到了！我們都樂於在火邊取暖。	It's winter! We are all glad to warm ourselves at the fire.	C'est l'hiver ! On est tout contents de se chauffer au feu.	MISAN
Iyux seangal na ina mniyak qmpahan ka bubu.	我母親很急著（看我娶親），好有個能下田工作的媳婦。	My mother is in a great hurry (to see me married) to get a daughter-in-law who works in the fields.	Ma mère est très pressée (de me voir marié) pour avoir une bru qui travaille dans les champs.	MIYAQ
Mstrung kmpaux bgihur do, kika misux ksun ta.	當逆向的風（在水上）相遇時，就說起了暴風雨。（或：這就是我們所謂的暴風雨。）	When contrary winds meet (on the water), one says there is a storm. (var. this is what we call a storm).	Quand des vents contraires se rencontrent (sur l'eau), on dit qu'il y a tempête. (vl. c'est ce que nous appelons tempête).	MISUX
Mkmurisaka ka yaku.	我是森坂人。	I am from Morisaka.	Je suis de Morisaka.	MK
Mqdgiyaq ka lala bi phpah.	山上花很多。	It is in the mountains that there are many flowers.	C'est en montagne qu'il y a beaucoup de fleurs.	MK
Mha nami nktru bi.	我們只去三天。	We are going for only three days.	Nous n'allons que pour trois jours.	MK
Mkrabi namu inu?	你們在哪裡過夜？	Where do you spend the night?	Où passez vous la nuit ?	MK
Mkmusa ku bi ka yaku.	我嘛，我很想去。	As for me, I would really like to go.	Moi, je voudrais bien aller.	MK
Ungat ana manu paru tbyaxun mu, wana mkay sapah.	我的工作並不繁重，我只做家事。	I am not overloaded with work; I only have the housework.	Je ne suis pas surchargée de travail, je n'ai que les travaux de la maison.	M'KAI (MUKAI?)
Aji ku mha saman, mha ku mkaxa da.	我明天不去，我後天去。	I will not go tomorrow; I will go the day after tomorrow.	Je n'irai pas demain, j'irai après demain.	MKAXA
Sayang, shiga, sngkaxa, nktru su sayang hini da.	今天、昨天、前天，你來這裡已經三天了。	Today, yesterday, the day before yesterday — that makes three days that you have been here.	Aujourd'hui, hier, avant hier, voilà trois jours que tu es ici.	MKAXA
Ana mlamu ka isu.	你這人真不一般！—你這人真有趣！—你這人真古怪！	You are not ordinary! - You are funny! - you are odd!	Tu n'es pas ordinaire, toi - Tu es drôle, toi ! - tu es curieux, toi !	MLAMU
Malu ku bi ka mgrbu, babaw ska hidaw ka mmlux ku bi.	我早上很好；到了下午才真的不舒服。	I feel very well in the morning; it is in the afternoon that I really feel bad.	Je suis très bien le matin ; c'est l'après midi que j'ai vraiment mal.	ML'BU (MLUBU?)
Saw ttalang o, lbuan bi ka malu tlaman.	對想跑步的人來說，清早跑最好。	For those who want to run, it is early in the morning that it is best (to race).	Pour ceux qui veulent courir, c'est tôt le matin que c'est préférable (de faire la course).	ML'BU (MLUBU?)
